Condition,Month,Side
A,March,Right
A,May,Right
A,May,Left
A,Unknown,Right
A,Unknown,Right
A,May,Right
A,March,Right
A,March,Right
A,May,Right
A,March,Right
A,September,Right
A,January,Left
A,July,Left
A,July,Right
A,November,Left
A,May,Right
A,March,Left
A,September,Left
A,January,Right
B,February,Right
B,April,Left
B,April,Left
B,December,Right
B,Unknown,Left
B,October,Right
B,December,Right
B,February,Right
B,October,Right
B,August,Right
B,June,Right
B,December,Right
B,October,Left
B,Unknown,Left
B,December,Left
B,June,Right
B,August,Left
B,October,Right
B,December,Right
